Date,Close
02/03/2023,306.02
02/03/2025,518.11
02/04/2020,227.35
02/04/2021,330.07
02/04/2022,357.82
02/04/2025,524.47
02/05/2020,228.1
02/05/2021,331.19
02/05/2024,428.45
02/05/2025,526.85
02/06/2020,230.07
02/06/2023,303.43
02/06/2024,427.59
02/06/2025,529.6
02/07/2020,229.08
02/07/2022,354.94
02/07/2023,309.72
02/07/2024,431.99
02/07/2025,522.92
02/08/2021,333.4
02/08/2022,358.93
02/08/2023,304.21
02/08/2024,432.79
02/09/2021,333.33
02/09/2022,366.54
02/09/2023,301.52
02/09/2024,437.05
02/10/2020,231.85
02/10/2021,332.58
02/10/2022,358.24
02/10/2023,299.54
02/10/2025,529.25
02/11/2020,231.89
02/11/2021,334.4
02/11/2022,346.88
02/11/2025,527.99
02/12/2020,234.15
02/12/2021,336.27
02/12/2024,435.34
02/12/2025,528.3
02/13/2020,233.85
02/13/2023,304.34
02/13/2024,428.55
02/13/2025,535.9
02/14/2020,234.52
02/14/2022,347.31
02/14/2023,306.59
02/14/2024,433.22
02/14/2025,538.15
02/15/2022,355.94
02/15/2023,308.94
02/15/2024,434.51
02/16/2021,335.36
02/16/2022,355.85
02/16/2023,303.14
02/16/2024,430.57
02/17/2021,333.75
02/17/2022,345.27
02/17/2023,301.0
02/18/2020,234.61
02/18/2021,332.3
02/18/2022,341.33
02/18/2025,539.37
02/19/2020,236.86
02/19/2021,330.85
02/19/2025,539.52
02/20/2020,234.66
02/20/2024,427.32
02/20/2025,537.23
02/21/2020,230.15
02/21/2023,293.88
02/21/2024,425.61
02/21/2025,526.08
02/22/2021,322.27
02/22/2022,337.9
02/22/2023,294.1
02/22/2024,438.07
02/23/2021,321.31
02/23/2022,329.25
02/23/2023,296.66
02/23/2024,436.78
02/24/2020,221.27
02/24/2021,323.96
02/24/2022,340.31
02/24/2023,291.7
02/24/2025,519.87
02/25/2020,215.26
02/25/2021,312.67
02/25/2022,345.59
02/25/2025,513.32
02/26/2020,216.37
02/26/2021,313.98
02/26/2024,436.55
02/26/2025,514.56
02/27/2020,205.53
02/27/2023,293.79
02/27/2024,437.6
